
Keyword: profit organization called teen empowerment	score: 18.0
Keyword: outlinedâcomprehensive background checks	score: 14.5
Keyword: health insurance company constantly	score: 13.5
Keyword: terrible long civil war	score: 12.6666666667
Keyword: lead paint poisoning effects	score: 12.5
Keyword: full town hall meetings	score: 12.1666666667
Keyword: incredibly great health insurance	score: 12.1538461538
Keyword: connect mental health problems	score: 11.5681818182
Keyword: comprehensive background checks	score: 10.5
Keyword: make hearing aids financially	score: 9.8962962963
Keyword: big international climate meeting	score: 9.55
Keyword: native american reservations	score: 9.0
Keyword: war crimes tribunal	score: 9.0
Keyword: american presidency projectpromote	score: 9.0
Keyword: friend terry narelli	score: 9.0
Keyword: played minor roles	score: 9.0
Keyword: mental health piece	score: 8.81818181818
Keyword: biggest concern people talk	score: 8.71289954338
Keyword: pay full prices	score: 8.5
Keyword: tragic avoidable accidents	score: 8.5
Keyword: worst financial crisis	score: 8.5
Keyword: behavioral deficits inducement	score: 8.5
Keyword: big convention center	score: 8.4
Keyword: identify young men	score: 8.38095238095
Keyword: mass cards showing	score: 8.33333333333
Keyword: mental health parity	score: 8.31818181818
Keyword: paycheck fairness act	score: 8.3
Keyword: affordable health care	score: 8.18181818182
Keyword: mental health illness	score: 8.15151515152
Keyword: poor education outcomes	score: 8.14285714286
Keyword: early childhood educationâ	score: 8.14285714286
Keyword: koch brothersâdecide	score: 8.0
Keyword: program originally started	score: 8.0
Keyword: fossil fuel industryâ	score: 8.0
Keyword: affordable care act	score: 7.98181818182
Keyword: climate change typically	score: 7.9
Keyword: mental health community	score: 7.67532467532
Keyword: unfairly stigmatize people	score: 7.67123287671
Keyword: felony conviction didn	score: 7.66666666667
Keyword: time teaching art	score: 7.6
Keyword: mental health problems	score: 7.56818181818
Keyword: recent research shows	score: 7.5
Keyword: early political days	score: 7.33333333333
Keyword: early onset alzheimer	score: 7.28571428571
Keyword: jail saved $4 million	score: 7.08571428571
Keyword: educating young people	score: 7.05218525766
Keyword: hire young people	score: 7.05218525766
Keyword: gun violenceâhomicides	score: 7.0
Keyword: republican friends hate	score: 7.0
Keyword: gun show loophole	score: 7.0
Keyword: low interest rates	score: 7.0
Keyword: applaud president obama	score: 6.94
Keyword: 6 million young people	score: 6.85218525766
Keyword: liberians left liberia	score: 6.83333333333
Keyword: great time traveling	score: 6.75384615385
Keyword: support nonprofit groups	score: 6.75
Keyword: veteran education money	score: 6.74285714286
Keyword: big economic challenges	score: 6.73333333333
Keyword: gun lobby lives	score: 6.66666666667
Keyword: level drug offenses	score: 6.5
Keyword: provide supportive housing	score: 6.5
Keyword: approach helping end	score: 6.3
Keyword: buy hearing aids	score: 6.26666666667
Keyword: good time watching	score: 6.14545454545
Keyword: community college programs	score: 6.14285714286
Keyword: year public college	score: 6.07142857143
Keyword: disconnected young people	score: 6.05218525766
Keyword: supporting young people	score: 6.05218525766
Keyword: beautiful young people	score: 6.05218525766
Keyword: civil war	score: 6.0
Keyword: lead poisoning	score: 6.0
Keyword: longer putting people	score: 5.97123287671
Keyword: mental health	score: 5.81818181818
Keyword: make tremendous progress	score: 5.7962962963
Keyword: town hall	score: 5.66666666667
Keyword: good paying jobs	score: 5.62878787879
Keyword: president obama made	score: 5.54
Keyword: people living longer	score: 5.47123287671
Keyword: climate meetings	score: 5.4
Keyword: mass health	score: 5.33333333333
Keyword: make college debt	score: 5.33201058201
Keyword: mental illness	score: 5.15151515152
Keyword: growing concern	score: 5.0
Keyword: incredibly focused	score: 5.0
Keyword: international agreement	score: 5.0
Keyword: hard time understanding	score: 4.91578947368
Keyword: climate change	score: 4.9
Keyword: visit president sirleaf	score: 4.77333333333
Keyword: terrible blow	score: 4.66666666667
Keyword: biggest discrepancy	score: 4.66666666667
Keyword: town halls	score: 4.66666666667
Keyword: biggest emitters	score: 4.66666666667
Keyword: hearing aids	score: 4.6
