
Keyword: recommend cutting middle class taxes	score: 15.2939393939
Keyword: stock priceâstock prices	score: 14.2
Keyword: white houseâpennsylvania avenue	score: 12.9
Keyword: reduce greenhouse gas emissions	score: 12.8333333333
Keyword: urge raising income taxes	score: 12.4
Keyword: giving specific tax credits	score: 12.25
Keyword: putting american combat troops back	score: 12.0365800866
Keyword: middle class economic future	score: 11.1558441558
Keyword: meant representing big business	score: 10.6666666667
Keyword: middle class people pay	score: 9.37012987013
Keyword: middle class families	score: 9.22727272727
Keyword: democratic frontrunner sat	score: 9.0
Keyword: integrate currency manipulation	score: 9.0
Keyword: network radical jihadism	score: 9.0
Keyword: formidable adversary online	score: 9.0
Keyword: hedge fund loophole	score: 9.0
Keyword: hay adams hotel	score: 9.0
Keyword: paying big taxes	score: 8.56666666667
Keyword: american presidency projectpromote	score: 8.45
Keyword: stifle american entrepreneurialism	score: 8.45
Keyword: fund social security	score: 8.33333333333
Keyword: major interview secretary clinton	score: 8.25490196078
Keyword: entire human race	score: 8.16666666667
Keyword: quick time tableârose	score: 8.0258735073
Keyword: additional steps earlier	score: 8.0
Keyword: osama bin laden	score: 8.0
Keyword: balance shift dramatically	score: 8.0
Keyword: entire corporate code	score: 8.0
Keyword: major american corporations	score: 7.95
Keyword: bought back shares	score: 7.90476190476
Keyword: middle class people	score: 7.77012987013
Keyword: clean energy superpower	score: 7.66666666667
Keyword: begin voluntary recording	score: 7.6
Keyword: employed fewer people	score: 7.54285714286
Keyword: regulate wall street	score: 7.5
Keyword: financial services sector	score: 7.5
Keyword: stifle american business	score: 7.45
Keyword: american flagship company	score: 7.45
Keyword: huge economic opportunity	score: 7.42857142857
Keyword: make big investmentsârose	score: 7.31578947368
Keyword: extra added part	score: 7.2
Keyword: reaching consensusârose	score: 7.17293233083
Keyword: terrorist groupârose	score: 7.17293233083
Keyword: create democracy overnight	score: 7.16666666667
Keyword: nuclear program literally	score: 7.15238095238
Keyword: payroll taxesârose	score: 7.07293233083
Keyword: barack obama thought	score: 7.06666666667
Keyword: judging trade agreements	score: 7.05555555556
Keyword: sunni tribes back	score: 7.02976190476
Keyword: encourage democratic members	score: 7.0
Keyword: nuclear weapon program	score: 6.98571428571
Keyword: terror group isis	score: 6.98148148148
Keyword: complex human problem	score: 6.95833333333
Keyword: great philanthropic commitment	score: 6.8
Keyword: terrible great recession	score: 6.8
Keyword: sunni tribal leaders	score: 6.79166666667
Keyword: president obama suspended	score: 6.79130434783
Keyword: foster care system	score: 6.75
Keyword: totally fair question	score: 6.72222222222
Keyword: good paying jobs	score: 6.7
Keyword: tax system fair	score: 6.66666666667
Keyword: push isis literally	score: 6.64814814815
Keyword: enforce human rights	score: 6.46666666667
Keyword: rapidly changing world	score: 6.4
Keyword: syrians leaving syria	score: 6.33333333333
Keyword: interest pretty clear	score: 6.33333333333
Keyword: american troops left	score: 6.29848484848
Keyword: unintentionally turkish airspace	score: 6.25
Keyword: middle class	score: 6.22727272727
Keyword: drug companies spend	score: 6.16666666667
Keyword: highway transportation bill	score: 6.16666666667
Keyword: cutting taxesâ	score: 6.06666666667
Keyword: isis inside iraq	score: 5.73148148148
Keyword: libyan people rose	score: 5.71578947368
Keyword: combat troops	score: 5.68181818182
Keyword: ve lost people	score: 5.66785714286
Keyword: united states secretary	score: 5.66666666667
Keyword: tax credits	score: 5.25
Keyword: find common ground	score: 5.03333333333
Keyword: quick story	score: 5.0
Keyword: care giving	score: 5.0
Keyword: bin laden	score: 5.0
Keyword: changing rapidly	score: 5.0
Keyword: white house	score: 4.9
Keyword: hillary clinton make	score: 4.81442577031
Keyword: nuclear weapon	score: 4.78571428571
Keyword: payroll tax	score: 4.75
Keyword: conflict airspaceârose	score: 4.67293233083
Keyword: clean energy	score: 4.66666666667
Keyword: âclean energy	score: 4.66666666667
Keyword: literally saving	score: 4.66666666667
Keyword: 000 american troops	score: 4.63181818182
Keyword: american troops	score: 4.63181818182
Keyword: corporate tax	score: 4.58333333333
Keyword: middle east	score: 4.52727272727
Keyword: drug addict	score: 4.5
Keyword: internal agreements	score: 4.5
Keyword: financial markets	score: 4.5
