
Keyword: hsbc allowing drug cartels	score: 16.0
Keyword: arbitrary growth targets untethered	score: 14.0
Keyword: undermine worker bargaining power	score: 13.1666666667
Keyword: major banks pleading guilty	score: 13.0666666667
Keyword: lets wealthy financiers pay	score: 12.9166666667
Keyword: restrain health care costs	score: 12.9166666667
Keyword: inflate quarterly stock prices	score: 12.8
Keyword: making extra money renting	score: 12.4285714286
Keyword: benefiting high skilled workers	score: 11.9166666667
Keyword: pocket health care costs	score: 11.9166666667
Keyword: financial firms piled risk	score: 11.5
Keyword: broader business tax reform	score: 11.4888888889
Keyword: helping main street grow	score: 11.375
Keyword: clock providing child care	score: 11.3333333333
Keyword: letting big corporations write	score: 11.0
Keyword: called shadow banking system	score: 11.0
Keyword: drive steady income growth	score: 10.8333333333
Keyword: reform capital gains taxes	score: 10.0
Keyword: growing middle class incomes	score: 9.56666666667
Keyword: hear republican candidates talk	score: 9.41666666667
Keyword: high quality early learning	score: 9.25
Keyword: longest peacetime expansion	score: 9.0
Keyword: cases admitted guilt	score: 9.0
Keyword: creating exciting economies	score: 9.0
Keyword: poisonous partisan gridlock	score: 9.0
Keyword: artificially low rate	score: 9.0
Keyword: guided license principles	score: 9.0
Keyword: chicago mercantile exchange	score: 9.0
Keyword: manipulate currency exchange	score: 9.0
Keyword: labor force participation	score: 9.0
Keyword: gross domestic product	score: 9.0
Keyword: provided health care	score: 8.91666666667
Keyword: comprehensive immigration reform	score: 8.83333333333
Keyword: chinese stock market	score: 8.8
Keyword: republican candidates hope	score: 8.66666666667
Keyword: fast worker marching	score: 8.66666666667
Keyword: lost money adds	score: 8.57142857143
Keyword: carried interest loophole	score: 8.5
Keyword: yield higher productivity	score: 8.5
Keyword: paid large fines	score: 8.5
Keyword: faster broadband networks	score: 8.5
Keyword: impose unfair burdens	score: 8.5
Keyword: enhancing social security	score: 8.5
Keyword: alongside tax reform	score: 8.38888888889
Keyword: budget busting giveaway	score: 8.33333333333
Keyword: american presidency projectpromote	score: 8.25
Keyword: create online platforms	score: 8.2
Keyword: jobs give people choices	score: 8.02727272727
Keyword: heard governor bush	score: 8.0
Keyword: cleaner renewable energy	score: 8.0
Keyword: single mom talked	score: 8.0
Keyword: quarterly earnings reports	score: 8.0
Keyword: exciting efforts underway	score: 8.0
Keyword: moneymaking game divorced	score: 8.0
Keyword: high quality pre	score: 7.91666666667
Keyword: spawns innovative companies	score: 7.90909090909
Keyword: create greater incentives	score: 7.86666666667
Keyword: stock buybacks aren	score: 7.8
Keyword: set ambitious goals	score: 7.75
Keyword: strongest middle class	score: 7.73333333333
Keyword: deserve tax relief	score: 7.72222222222
Keyword: fellow americans hit	score: 7.60869565217
Keyword: put money directly	score: 7.57142857143
Keyword: president van zant	score: 7.54545454545
Keyword: wall street journal	score: 7.51785714286
Keyword: defining economic challenge	score: 7.5
Keyword: human beings responsible	score: 7.5
Keyword: encourage responsible loans	score: 7.5
Keyword: markets tax credit	score: 7.38888888889
Keyword: provide solid incomes	score: 7.33333333333
Keyword: government recovers money	score: 7.32142857143
Keyword: young moms understand	score: 7.16666666667
Keyword: young black men	score: 7.16666666667
Keyword: record corporate earnings	score: 7.16666666667
Keyword: school corporate raiders	score: 7.16666666667
Keyword: alongside strong growth	score: 7.11111111111
Keyword: raise lifetime incomes	score: 7.08333333333
Keyword: common global economy	score: 7.04545454545
Keyword: earned sick days	score: 7.0
Keyword: improving financial oversight	score: 7.0
Keyword: american middle class	score: 6.98333333333
Keyword: implement president obama	score: 6.94545454545
Keyword: hugely successful companies	score: 6.90909090909
Keyword: bank finance companies	score: 6.90909090909
Keyword: offer higher wages	score: 6.75
Keyword: expanding global trade	score: 6.75
Keyword: stock markets work	score: 6.74444444444
Keyword: supporting union workers	score: 6.66666666667
Keyword: separate trust fund	score: 6.66666666667
Keyword: higher wages pay	score: 6.66666666667
Keyword: including hedge funds	score: 6.66666666667
Keyword: work longer hours	score: 6.61111111111
Keyword: net business investment	score: 6.6
Keyword: make prescription drugs	score: 6.6
Keyword: called gig economy	score: 6.54545454545
Keyword: major financial institutions	score: 6.5
Keyword: pay lower rates	score: 6.41666666667
Keyword: affordable care act	score: 6.41666666667
Keyword: public sector steps	score: 6.32142857143
Keyword: create fair growth	score: 6.29090909091
Keyword: make paychecks stretch	score: 6.26666666667
Keyword: hard work pulled	score: 6.14052287582
Keyword: working americans deserve	score: 6.12151616499
Keyword: paid family leave	score: 6.10714285714
Keyword: term share price	score: 6.02083333333
Keyword: make greater investments	score: 6.01666666667
Keyword: pocket costs	score: 6.0
Keyword: health care	score: 5.91666666667
Keyword: small businesses create	score: 5.75555555556
Keyword: president obama saved	score: 5.61212121212
Keyword: raising hard questions	score: 5.52941176471
Keyword: build strong families	score: 5.39316239316
Keyword: tax reform	score: 5.38888888889
Keyword: main street	score: 5.375
Keyword: change start working	score: 5.06043956044
Keyword: 500 tax credit	score: 5.05555555556
Keyword: tax relief	score: 5.05555555556
Keyword: republican governors	score: 5.0
Keyword: quarterly capitalism	score: 5.0
Keyword: super wealthy	score: 5.0
Keyword: providing opportunities	score: 5.0
Keyword: interest rates	score: 5.0
Keyword: cut costs	score: 5.0
Keyword: prescription drugs	score: 5.0
Keyword: share prices	score: 4.875
Keyword: middle class	score: 4.73333333333
Keyword: community banks	score: 4.66666666667
Keyword: greater diversity	score: 4.66666666667
Keyword: big banks	score: 4.66666666667
Keyword: launder money	score: 4.57142857143
Keyword: money managers	score: 4.57142857143
Keyword: tax code	score: 4.55555555556
Keyword: wall street	score: 4.51785714286
Keyword: financial services	score: 4.5
Keyword: returned directly	score: 4.5
Keyword: specific steps	score: 4.5
Keyword: financial trading	score: 4.5
Keyword: infrastructure bank	score: 4.5
Keyword: spur investment	score: 4.5
Keyword: financial industry	score: 4.5
Keyword: young entrepreneur	score: 4.5
Keyword: global competition	score: 4.5
Keyword: record highs	score: 4.5
Keyword: national security	score: 4.5
Keyword: economic growth	score: 4.5
Keyword: human genome	score: 4.5
Keyword: ease burdens	score: 4.5
